Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mozambique,MOZ,1079.82153338471
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Myanmar,MMR,4770.01209867368
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Namibia,NAM,9630.69828736637
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Nauru,NRU,12561.4463359568
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Nepal,NPL,2266.18429824848
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Netherlands,NLD,45668.4414721322
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,New Caledonia,NCL,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,New Zealand,NZL,34468.7685615064
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Nicaragua,NIC,4784.83046071357
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Niger,NER,900.134290337719
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Nigeria,NGA,5671.90058268818
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Northern Mariana Islands,MNP,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Norway,NOR,63286.6881074226
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Oman,OMN,40282.6876070143
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Pakistan,PAK,4576.2270153496
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Palau,PLW,13277.1680474307
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Panama,PAN,19871.8380707006
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Papua New Guinea,PNG,2620.88240255585
